datetime,hourly_site_load_in_watt,NOK_per_kWh,temp,windgust,windspeed,winddir,solarradiation,solarenergy,uvindex
2024-09-29 00,1251.59,0.33403,7.1,43.1,27.6,313,0,0,0
2024-09-29 01,1258.01,0.32886,7.1,42.4,27.1,320,0,0,0
2024-09-29 02,1258.73,0.32803,6.5,25.2,10.8,310,0,0,0
2024-09-29 03,1340.63,0.32651,6.5,42.9,27.3,315,0,0,0
2024-09-29 04,1294.76,0.32662,5.7,39.5,23.8,310,0,0,0
2024-09-29 05,1276.1,0.32768,4.9,33.1,19.3,325,0,0,0
2024-09-29 06,1287.59,0.33909,4.5,26.3,17.8,299,0,0,0
2024-09-29 07,1273.99,0.35449,3.1,27,14.5,314,0,0,0
2024-09-29 08,1312.15,0.36001,4.7,29.6,17.9,290,11,0,0
2024-09-29 09,1306.34,0.37001,5.8,26,15,280,43,0.2,0
2024-09-29 10,1295.8,0.35308,7.8,23.3,14.8,285,99,0.4,1
2024-09-29 11,1279.57,0.29394,9,23.6,15.5,277,227,0.8,2
2024-09-29 12,1233.35,0.24679,9.6,20.7,12.9,286,307,1.1,3
2024-09-29 13,1305.14,0.2549,11,20.5,13.1,279,344,1.2,3
2024-09-29 14,1343.29,0.293,10.9,20.8,16.4,241,349,1.3,3
2024-09-29 15,1257.89,0.35755,10.9,27,19.1,229,319,1.1,3
2024-09-29 16,1291.34,0.39117,10.3,26.7,16.4,228,121,0.4,1
2024-09-29 17,1293.37,0.39658,10.8,26.8,17.8,249,100,0.4,1
2024-09-29 18,1264.23,0.42633,9.8,26.9,20.8,246,47,0.2,0
2024-09-29 19,1298.5,0.43091,9.5,33.2,22.6,255,12,0,0
2024-09-29 20,1262.08,0.43303,8.6,32.6,20.7,248,0,0,0
2024-09-29 21,1252.43,0.42915,8.5,26,14.7,234,0,0,0
2024-09-29 22,1301.39,0.42327,8.7,22.7,9.5,74,0,0,0
2024-09-29 23,1277.76,0.36542,7.7,24,11.8,134,0,0,0
2024-09-30 00,1318.2,0.31228,7.7,20.4,10.2,104,0,0,0
2024-09-30 01,1302.67,0.20634,7.6,20.4,10,112,0,0,0
2024-09-30 02,1302.11,0.09876,7.5,17.5,10.4,116,0,0,0
2024-09-30 03,1327.85,0.06502,7.4,14.4,7.5,91,0,0,0
2024-09-30 04,1270.25,0.10605,7.3,14.4,9.3,69,0,0,0
2024-09-30 05,1766.33,0.26349,7.3,14.4,9.4,78,0,0,0
2024-09-30 06,3015.57,0.42433,7.2,13.9,8.6,76,0,0,0
2024-09-30 07,3342.76,0.66442,6.7,16.8,9.2,76,0,0,0
2024-09-30 08,3545.9,0.671,7.6,12.9,8.3,73,10,0,0
2024-09-30 09,3860.62,0.5566,7.6,17.2,9.5,48,54,0.2,1
2024-09-30 10,3536.63,0.42456,8.6,35.4,17.6,134,66,0.2,1
2024-09-30 11,3641.47,0.28677,9.4,14,7.1,102,77,0.3,1
2024-09-30 12,3276.57,0.23421,10.3,14.3,9.8,239,101,0.4,1
2024-09-30 13,3129.94,0.16131,11.3,23.3,12.5,114,124,0.4,1
2024-09-30 14,2374.14,0.17624,12.4,27.1,10.7,144,184,0.7,2
2024-09-30 15,1426.41,0.26584,12.6,19.5,13.7,208,118,0.4,1
2024-09-30 16,1410.87,0.3171,13.2,32.6,15.8,266,172,0.6,2
2024-09-30 17,1459.58,0.38471,12,17.7,7.9,142,56,0.2,1
2024-09-30 18,1394.79,0.42315,11.2,11,9.3,87,29,0.1,0
2024-09-30 19,1371.58,0.43068,10.1,16.6,13,79,4,0,0
2024-09-30 20,1393.65,0.4014,9.3,16.4,12.6,58,0,0,0
2024-09-30 21,1454.85,0.30311,8.5,16.4,14.3,52,0,0,0
2024-09-30 22,1420.98,0.24279,8.5,16.7,12.4,60,0,0,0
2024-09-30 23,1429,0.11946,8.4,19.8,15.3,67,0,0,0
2024-10-01 00,1403.52,0.03883,8.1,20.1,15.2,79,0,0,0
2024-10-01 01,1363.77,0.00094,7.9,20.2,15.4,72,0,0,0
2024-10-01 02,1392.41,0.00059,7.7,20.1,15.8,65,0,0,0
2024-10-01 03,1360.3,0.00023,6.8,22.6,16.3,58,0,0,0
2024-10-01 04,1380.43,0.09384,6.7,19.9,16.4,57,0,0,0
2024-10-01 05,1625.26,0.2962,6.2,26.1,20.6,51,0,0,0
2024-10-01 06,3217.3,0.39121,6.1,21.7,14.3,49,0,0,0
2024-10-01 07,3360.26,0.44611,6.2,23.5,18.1,53,0,0,0
2024-10-01 08,3604.38,0.4847,6.6,23.5,17.9,53,14,0.1,0
2024-10-01 09,3835.38,0.48693,7.3,26.7,21.2,59,58,0.2,1
2024-10-01 10,5204.63,0.45338,8.3,27.1,16.2,58,112,0.4,1
2024-10-01 11,5421.23,0.42277,9.5,24.4,16.9,61,195,0.7,2
2024-10-01 12,6018.45,0.4223,11.1,27.5,19.2,68,266,1,3
2024-10-01 13,3557.16,0.42265,11.9,30.6,19.6,77,202,0.7,2
2024-10-01 14,2337.64,0.42242,12.4,24.4,14.2,67,347,1.2,3
2024-10-01 15,1376.26,0.46582,12.7,23.2,14.9,72,181,0.7,2
2024-10-01 16,1207.82,0.51098,12.7,27.8,19.2,56,184,0.7,2
2024-10-01 17,1170.25,0.58559,12,30.5,19.3,51,82,0.3,1
2024-10-01 18,1476.3,0.61972,11.2,27.7,18.8,47,26,0.1,0
2024-10-01 19,1418.24,0.64377,10.1,20,13.9,32,4,0,0
2024-10-01 20,1078.69,0.56037,8.3,17.7,10.1,36,0,0,0
2024-10-01 21,1291.62,0.52776,7.5,17.2,12.3,37,0,0,0
2024-10-01 22,1416.06,0.49139,6.6,17.1,12.2,39,0,0,0
2024-10-01 23,1085.07,0.42652,6.6,17.1,11.4,35,0,0,0
2024-10-02 00,1359.71,0.46729,7,16.9,12,34,0,0,0
2024-10-02 01,1333.81,0.46227,7,17.1,12.2,35,0,0,0
2024-10-02 02,1100.96,0.45515,5.8,19.8,12.6,38,0,0,0
2024-10-02 03,1288.94,0.46379,6.4,20.2,14.9,35,0,0,0
2024-10-02 04,1331.07,0.46998,6.5,20.4,12.2,38,0,0,0
2024-10-02 05,1280.95,0.49437,7,14.3,7.5,359,0,0,0
2024-10-02 06,2209.41,0.58624,6.9,14.3,10.4,351,0,0,0
2024-10-02 07,2170.35,0.94695,6.8,14.7,10.3,360,0,0,0
2024-10-02 08,2390.25,1.43047,6.5,14,10.5,1,7,0,0
2024-10-02 09,2899.53,1.06579,7.1,14.5,7.2,10,34,0.1,0
2024-10-02 10,2874.81,0.72294,8.7,15.5,9.7,1,55,0.2,1
2024-10-02 11,2624.44,0.59955,9.9,17.8,11.2,16,195,0.7,2
2024-10-02 12,2571.87,0.64088,11.2,21.1,13.4,17,282,1,3
2024-10-02 13,2556.63,0.58916,12.4,20.8,10.8,1,319,1.1,3
